 time            v(in)           v(out_a)        v(out_b)       
 8.86276779e-03  5.00000000e+00  4.99807514e+00  4.53840658e+00 
 8.87276779e-03  5.00000000e+00  4.99809429e+00  4.53980323e+00 
 8.88276779e-03  5.00000000e+00  4.99811325e+00  4.54119565e+00 
 8.89276779e-03  5.00000000e+00  4.99813203e+00  4.54258387e+00 
 8.90276779e-03  5.00000000e+00  4.99815061e+00  4.54396788e+00 
 8.91276779e-03  5.00000000e+00  4.99816901e+00  4.54534770e+00 
 8.92276779e-03  5.00000000e+00  4.99818723e+00  4.54672335e+00 
 8.93276779e-03  5.00000000e+00  4.99820527e+00  4.54809484e+00 
 8.94276779e-03  5.00000000e+00  4.99822313e+00  4.54946218e+00 
 8.95276779e-03  5.00000000e+00  4.99824081e+00  4.55082538e+00 
 8.96276779e-03  5.00000000e+00  4.99825831e+00  4.55218446e+00 
 8.97276779e-03  5.00000000e+00  4.99827564e+00  4.55353942e+00 
 8.98276779e-03  5.00000000e+00  4.99829280e+00  4.55489028e+00 
 8.99276779e-03  5.00000000e+00  4.99830979e+00  4.55623706e+00 
 9.00276779e-03  5.00000000e+00  4.99832661e+00  4.55757976e+00 
 9.01276779e-03  5.00000000e+00  4.99834326e+00  4.55891840e+00 
 9.02276779e-03  5.00000000e+00  4.99835974e+00  4.56025299e+00 
 9.03276779e-03  5.00000000e+00  4.99837606e+00  4.56158354e+00 
 9.04276779e-03  5.00000000e+00  4.99839222e+00  4.56291007e+00 
 9.05276779e-03  5.00000000e+00  4.99840822e+00  4.56423258e+00 
 9.06276779e-03  5.00000000e+00  4.99842406e+00  4.56555109e+00 
 9.07276779e-03  5.00000000e+00  4.99843974e+00  4.56686561e+00 
 9.08276779e-03  5.00000000e+00  4.99845526e+00  4.56817615e+00 
 9.09276779e-03  5.00000000e+00  4.99847063e+00  4.56948273e+00 
 9.10276779e-03  5.00000000e+00  4.99848585e+00  4.57078535e+00 
 9.11276779e-03  5.00000000e+00  4.99850092e+00  4.57208403e+00 
 9.12276779e-03  5.00000000e+00  4.99851583e+00  4.57337879e+00 
 9.13276779e-03  5.00000000e+00  4.99853060e+00  4.57466962e+00 
 9.14276779e-03  5.00000000e+00  4.99854522e+00  4.57595655e+00 
 9.15276779e-03  5.00000000e+00  4.99855970e+00  4.57723959e+00 
 9.16276779e-03  5.00000000e+00  4.99857403e+00  4.57851874e+00 
 9.17276779e-03  5.00000000e+00  4.99858822e+00  4.57979403e+00 
 9.18276779e-03  5.00000000e+00  4.99860227e+00  4.58106545e+00 
 9.19276779e-03  5.00000000e+00  4.99861617e+00  4.58233303e+00 
 9.20276779e-03  5.00000000e+00  4.99862994e+00  4.58359677e+00 
