 time            v(in)           v(out)          i(V1)          
 1.77398500e-02  0.00000000e+00  3.50658606e-06  3.50658606e-09 
 1.77498500e-02  0.00000000e+00  3.43714871e-06  3.43714871e-09 
 1.77598500e-02  0.00000000e+00  3.36908636e-06  3.36908636e-09 
 1.77698500e-02  0.00000000e+00  3.30237178e-06  3.30237178e-09 
 1.77798500e-02  0.00000000e+00  3.23697828e-06  3.23697828e-09 
 1.77898500e-02  0.00000000e+00  3.17287970e-06  3.17287970e-09 
 1.77998500e-02  0.00000000e+00  3.11005040e-06  3.11005040e-09 
 1.78098500e-02  0.00000000e+00  3.04846524e-06  3.04846524e-09 
 1.78198500e-02  0.00000000e+00  2.98809959e-06  2.98809959e-09 
 1.78298500e-02  0.00000000e+00  2.92892931e-06  2.92892931e-09 
 1.78398500e-02  0.00000000e+00  2.87093071e-06  2.87093071e-09 
 1.78498500e-02  0.00000000e+00  2.81408059e-06  2.81408059e-09 
 1.78598500e-02  0.00000000e+00  2.75835622e-06  2.75835622e-09 
 1.78698500e-02  0.00000000e+00  2.70373531e-06  2.70373531e-09 
 1.78798500e-02  0.00000000e+00  2.65019600e-06  2.65019600e-09 
 1.78898500e-02  0.00000000e+00  2.59771687e-06  2.59771687e-09 
 1.78998500e-02  0.00000000e+00  2.54627693e-06  2.54627693e-09 
 1.79098500e-02  0.00000000e+00  2.49585560e-06  2.49585560e-09 
 1.79198500e-02  0.00000000e+00  2.44643272e-06  2.44643272e-09 
 1.79298500e-02  0.00000000e+00  2.39798851e-06  2.39798851e-09 
 1.79398500e-02  0.00000000e+00  2.35050359e-06  2.35050359e-09 
 1.79498500e-02  0.00000000e+00  2.30395896e-06  2.30395896e-09 
 1.79598500e-02  0.00000000e+00  2.25833601e-06  2.25833601e-09 
 1.79698500e-02  0.00000000e+00  2.21361649e-06  2.21361649e-09 
 1.79798500e-02  0.00000000e+00  2.16978250e-06  2.16978250e-09 
 1.79898500e-02  0.00000000e+00  2.12681651e-06  2.12681651e-09 
 1.79998500e-02  0.00000000e+00  2.08470133e-06  2.08470133e-09 
 1.80098500e-02  0.00000000e+00  2.04342011e-06  2.04342011e-09 
 1.80198500e-02  0.00000000e+00  2.00295635e-06  2.00295635e-09 
 1.80298500e-02  0.00000000e+00  1.96329385e-06  1.96329385e-09 
 1.80398500e-02  0.00000000e+00  1.92441674e-06  1.92441674e-09 
 1.80498500e-02  0.00000000e+00  1.88630948e-06  1.88630948e-09 
 1.80598500e-02  0.00000000e+00  1.84895682e-06  1.84895682e-09 
 1.80698500e-02  0.00000000e+00  1.81234381e-06  1.81234381e-09 
 1.80798500e-02  0.00000000e+00  1.77645581e-06  1.77645581e-09 
 1.80898500e-02  0.00000000e+00  1.74127847e-06  1.74127847e-09 
 1.80998500e-02  0.00000000e+00  1.70679771e-06  1.70679771e-09 
 1.81098500e-02  0.00000000e+00  1.67299974e-06  1.67299974e-09 
 1.81198500e-02  0.00000000e+00  1.63987103e-06  1.63987103e-09 
 1.81298500e-02  0.00000000e+00  1.60739833e-06  1.60739833e-09 
 1.81398500e-02  0.00000000e+00  1.57556866e-06  1.57556866e-09 
 1.81498500e-02  0.00000000e+00  1.54436928e-06  1.54436928e-09 
 1.81598500e-02  0.00000000e+00  1.51378771e-06  1.51378771e-09 
 1.81698500e-02  0.00000000e+00  1.48381172e-06  1.48381172e-09 
 1.81798500e-02  0.00000000e+00  1.45442931e-06  1.45442931e-09 
 1.81898500e-02  0.00000000e+00  1.42562873e-06  1.42562873e-09 
