 v-sweep         v(a)            v(y)           
 3.04000000e+00  3.04000000e+00  1.41452990e-08 
 3.05000000e+00  3.05000000e+00  1.40851063e-08 
 3.06000000e+00  3.06000000e+00  1.40254236e-08 
 3.07000000e+00  3.07000000e+00  1.39662446e-08 
 3.08000000e+00  3.08000000e+00  1.39075629e-08 
 3.09000000e+00  3.09000000e+00  1.38493723e-08 
 3.10000000e+00  3.10000000e+00  1.37916666e-08 
 3.11000000e+00  3.11000000e+00  1.37344397e-08 
 3.12000000e+00  3.12000000e+00  1.36776859e-08 
 3.13000000e+00  3.13000000e+00  1.36213991e-08 
 3.14000000e+00  3.14000000e+00  1.35655737e-08 
 3.15000000e+00  3.15000000e+00  1.35102040e-08 
 3.16000000e+00  3.16000000e+00  1.34552845e-08 
 3.17000000e+00  3.17000000e+00  1.34008096e-08 
 3.18000000e+00  3.18000000e+00  1.33467741e-08 
 3.19000000e+00  3.19000000e+00  1.32931726e-08 
 3.20000000e+00  3.20000000e+00  1.32399999e-08 
 3.21000000e+00  3.21000000e+00  1.31872509e-08 
 3.22000000e+00  3.22000000e+00  1.31349205e-08 
 3.23000000e+00  3.23000000e+00  1.30830039e-08 
 3.24000000e+00  3.24000000e+00  1.30314960e-08 
 3.25000000e+00  3.25000000e+00  1.29803921e-08 
 3.26000000e+00  3.26000000e+00  1.29296874e-08 
 3.27000000e+00  3.27000000e+00  1.28793773e-08 
 3.28000000e+00  3.28000000e+00  1.28294573e-08 
 3.29000000e+00  3.29000000e+00  1.27799227e-08 
 3.30000000e+00  3.30000000e+00  1.27307691e-08 
