 time            v(in)           v(out)         
 1.00243079e-03  5.00000000e+00  9.66931667e-03 
 1.00390773e-03  5.00000000e+00  1.70343141e-02 
 1.00686162e-03  5.00000000e+00  3.17317241e-02 
 1.01276939e-03  5.00000000e+00  6.09966842e-02 
 1.02276939e-03  5.00000000e+00  1.10140996e-01 
 1.03276939e-03  5.00000000e+00  1.58796309e-01 
 1.04276939e-03  5.00000000e+00  2.06967490e-01 
 1.05276939e-03  5.00000000e+00  2.54659356e-01 
 1.06276939e-03  5.00000000e+00  3.01876676e-01 
 1.07276939e-03  5.00000000e+00  3.48624172e-01 
 1.08276939e-03  5.00000000e+00  3.94906518e-01 
 1.09276939e-03  5.00000000e+00  4.40728344e-01 
 1.10276939e-03  5.00000000e+00  4.86094231e-01 
 1.11276939e-03  5.00000000e+00  5.31008716e-01 
 1.12276939e-03  5.00000000e+00  5.75476291e-01 
 1.13276939e-03  5.00000000e+00  6.19501403e-01 
 1.14276939e-03  5.00000000e+00  6.63088454e-01 
 1.15276939e-03  5.00000000e+00  7.06241802e-01 
 1.16276939e-03  5.00000000e+00  7.48965764e-01 
 1.17276939e-03  5.00000000e+00  7.91264613e-01 
 1.18276939e-03  5.00000000e+00  8.33142577e-01 
 1.19276939e-03  5.00000000e+00  8.74603844e-01 
 1.20276939e-03  5.00000000e+00  9.15652562e-01 
 1.21276939e-03  5.00000000e+00  9.56292835e-01 
 1.22276939e-03  5.00000000e+00  9.96528728e-01 
 1.23276939e-03  5.00000000e+00  1.03636426e+00 
 1.24276939e-03  5.00000000e+00  1.07580342e+00 
 1.25276939e-03  5.00000000e+00  1.11485016e+00 
 1.26276939e-03  5.00000000e+00  1.15350836e+00 
 1.27276939e-03  5.00000000e+00  1.19178191e+00 
 1.28276939e-03  5.00000000e+00  1.22967463e+00 
 1.29276939e-03  5.00000000e+00  1.26719030e+00 
 1.30276939e-03  5.00000000e+00  1.30433269e+00 
 1.31276939e-03  5.00000000e+00  1.34110550e+00 
 1.32276939e-03  5.00000000e+00  1.37751241e+00 
 1.33276939e-03  5.00000000e+00  1.41355706e+00 
 1.34276939e-03  5.00000000e+00  1.44924306e+00 
 1.35276939e-03  5.00000000e+00  1.48457398e+00 
 1.36276939e-03  5.00000000e+00  1.51955334e+00 
 1.37276939e-03  5.00000000e+00  1.55418465e+00 
 1.38276939e-03  5.00000000e+00  1.58847137e+00 
 1.39276939e-03  5.00000000e+00  1.62241693e+00 
 1.40276939e-03  5.00000000e+00  1.65602472e+00 
 1.41276939e-03  5.00000000e+00  1.68929811e+00 
 1.42276939e-03  5.00000000e+00  1.72224041e+00 
 1.43276939e-03  5.00000000e+00  1.75485494e+00 
 1.44276939e-03  5.00000000e+00  1.78714494e+00 
 1.45276939e-03  5.00000000e+00  1.81911364e+00 
 1.46276939e-03  5.00000000e+00  1.85076425e+00 
 1.47276939e-03  5.00000000e+00  1.88209993e+00 
 1.48276939e-03  5.00000000e+00  1.91312382e+00 
 1.49276939e-03  5.00000000e+00  1.94383900e+00 
 1.50276939e-03  5.00000000e+00  1.97424856e+00 
 1.51276939e-03  5.00000000e+00  2.00435554e+00 
 1.52276939e-03  5.00000000e+00  2.03416295e+00 
 1.53276939e-03  5.00000000e+00  2.06367377e+00 
 1.54276939e-03  5.00000000e+00  2.09289094e+00 
 1.55276939e-03  5.00000000e+00  2.12181740e+00 
 1.56276939e-03  5.00000000e+00  2.15045603e+00 
 1.57276939e-03  5.00000000e+00  2.17880971e+00 
 1.58276939e-03  5.00000000e+00  2.20688125e+00 
 1.59276939e-03  5.00000000e+00  2.23467348e+00 
 1.60276939e-03  5.00000000e+00  2.26218916e+00 
 1.61276939e-03  5.00000000e+00  2.28943106e+00 
 1.62276939e-03  5.00000000e+00  2.31640190e+00 
 1.63276939e-03  5.00000000e+00  2.34310437e+00 
 1.64276939e-03  5.00000000e+00  2.36954114e+00 
 1.65276939e-03  5.00000000e+00  2.39571486e+00 
 1.66276939e-03  5.00000000e+00  2.42162814e+00 
 1.67276939e-03  5.00000000e+00  2.44728359e+00 
 1.68276939e-03  5.00000000e+00  2.47268375e+00 
 1.69276939e-03  5.00000000e+00  2.49783117e+00 
 1.70276939e-03  5.00000000e+00  2.52272838e+00 
 1.71276939e-03  5.00000000e+00  2.54737785e+00 
 1.72276939e-03  5.00000000e+00  2.57178205e+00 
 1.73276939e-03  5.00000000e+00  2.59594342e+00 
 1.74276939e-03  5.00000000e+00  2.61986438e+00 
 1.75276939e-03  5.00000000e+00  2.64354732e+00 
 1.76276939e-03  5.00000000e+00  2.66699461e+00 
 1.77276939e-03  5.00000000e+00  2.69020860e+00 
 1.78276939e-03  5.00000000e+00  2.71319159e+00 
 1.79276939e-03  5.00000000e+00  2.73594591e+00 
 1.80276939e-03  5.00000000e+00  2.75847381e+00 
 1.81276939e-03  5.00000000e+00  2.78077755e+00 
 1.82276939e-03  5.00000000e+00  2.80285937e+00 
 1.83276939e-03  5.00000000e+00  2.82472146e+00 
 1.84276939e-03  5.00000000e+00  2.84636603e+00 
 1.85276939e-03  5.00000000e+00  2.86779522e+00 
 1.86276939e-03  5.00000000e+00  2.88901119e+00 
 1.87276939e-03  5.00000000e+00  2.91001605e+00 
 1.88276939e-03  5.00000000e+00  2.93081191e+00 
 1.89276939e-03  5.00000000e+00  2.95140085e+00 
 1.90276939e-03  5.00000000e+00  2.97178492e+00 
 1.91276939e-03  5.00000000e+00  2.99196616e+00 
 1.92276939e-03  5.00000000e+00  3.01194660e+00 
